Hotel Code,Hotel Name,Generated Date,Generated Time,Report Name
NNNH,Now Now Noho,07/23/2026,13:21:17,JFKNOW_RESV_Export_Manual
Hotel Code,Country,State,Postal Code,Group Name,Origin Code,Segment Code,Market Code,Hotel Name,Source Code,Purpose Of Stay,External System Reference,External System,Lead Days,Cancel Date,Stay Type,Updated At,Confirmation Number,Reservation Status,Nights,Adults,Children,Arrival Rate Code,Last Night Price,First Night Price,Adr,Arrival Room Type,Departure Date,Arrival Date,Travel Agent,Company,Guest Id,Reservation Id,Created At Hz,Departure Room Type,Arrival Room Number,Departure Room Number,City
NNNH,,,"",,,,Retail,Now Now Noho,Direct,,100000,DUETTO,107,2024-09-16,N,2025-11-04 19:50:35 -0500,100000,CANCELED,1,1,0,BAR,100.0,100.0,100.0,ADA,2025-01-02,2025-01-01,,,131652772,120668520,2024-09-16 16:20:28,ADA,,,""
NNNH,,,,,,,Retail,Now Now Noho,Direct,,100001,DUETTO,129,2024-09-27,N,2025-11-04 19:54:28 -0500,100001,CANCELED,2,1,0,BAR,100.0,100.0,100.0,CSC,2025-02-05,2025-02-03,,,131859228,120881341,2024-09-27 11:42:55,CSC,,,""
NNNH,United Kingdom,TX,54321,,,,Retail,Now Now Noho,Direct,,BBN-BB24092715418470,SITEMINDER,129,2024-11-20,N,2024-12-03 18:45:03 -0500,100002,CANCELED,1,1,0,BAR,105.0,105.0,105.0,CSC,2025-02-04,2025-02-03,Direct Booking,,131859382,120881479,2024-09-27 11:49:17,CSC,,,TEST
NNNH,,,,,,,Retail,Now Now Noho,Direct,,100003,DUETTO,131,2024-09-27,N,2025-11-04 19:54:28 -0500,100003,CANCELED,1,1,0,BAR,100.0,100.0,100.0,CSC,2025-02-06,2025-02-05,,,131859228,120881516,2024-09-27 11:51:39,CSC,,,""
NNNH,United States,"","",,,,Discount,Now Now Noho,Direct,,100004,DUETTO,155,2024-11-05,N,2025-11-04 18:46:48 -0500,100004,CANCELED,1,1,0,DISC20,160.0,160.0,160.0,ADA,2025-04-02,2025-04-01,,,132403756,121439383,2024-10-28 10:09:03,ADA,,,""
NNNH,,,,,,,Retail,Now Now Noho,Direct,,100005,DUETTO,101,2024-10-28,N,2025-11-04 19:03:55 -0500,100005,CANCELED,1,1,0,BAR,100.0,100.0,100.0,CSC,2025-02-07,2025-02-06,,,132413198,121449441,2024-10-28 17:41:02,CSC,,,City
NNNH,United States,"","",,,,Retail,Now Now Noho,Direct,,BBN-BB24102815679094,SITEMINDER,154,2024-11-11,N,2025-05-28 12:42:37 -0400,100006,CANCELED,1,1,0,BAR,200.0,200.0,200.0,CSC,2025-04-02,2025-04-01,Direct Booking,,132403756,121453824,2024-10-28 22:38:31,CSC,,,""
NNNH,United States,NY,10025,,,,Retail,Now Now Noho,Direct,,BBN-BB24102915683315,SITEMINDER,156,2024-11-05,N,2024-12-03 18:54:06 -0500,100007,CANCELED,1,1,0,BAR,200.0,200.0,200.0,CSC,2025-04-04,2025-04-03,Direct Booking,,132424938,121461641,2024-10-29 12:37:34,CSC,,,New York
NNNH,United States,NY,10025,,,,Retail,Now Now Noho,Direct,,BBN-BB24110115707959,SITEMINDER,151,2024-11-05,N,2024-12-03 18:45:03 -0500,100008,CANCELED,1,1,0,BAR,200.0,200.0,200.0,CSC,2025-04-02,2025-04-01,Direct Booking,,132424938,121517911,2024-11-01 14:58:09,CSC,,,New York
NNNH,United States,NY,10025,,,,Retail,Now Now Noho,Direct,,BBN-BB24111115784991,SITEMINDER,141,2024-11-11,N,2024-12-03 18:33:46 -0500,100009,CANCELED,1,1,0,BAR,149.0,149.0,149.0,CSC,2025-04-02,2025-04-01,Direct Booking,,132424938,121682048,2024-11-11 16:26:05,CSC,,,New York
